x,y
0.17,1.27

0.18,1.27

0.2,1.28

0.22,1.29

0.24,1.28

0.26,1.27

0.14,1.26

0.14,1.25

0.14,1.25

0.13,1.25

0.14,1.24

0.11,1.24

0.14,1.25

0.08,1.24

0.05,1.23

0.04,1.23

0.09,1.23

0.13,1.23

0.15,1.22

0.16,1.21

0.17,1.21

0.19,1.2

0.25,1.19

0.3,1.2

0.31,1.21

0.32,1.2

0.32,1.19

0.34,1.19

0.35,1.21

0.36,1.24

0.39,1.28

0.42,1.3

0.44,1.32

0.5,1.36

0.93,1.55

1.92,1.75

2.85,2.03

3.41,2.36

3.64,2.81

3.52,3.31

3.12,3.89

2.55,4.46

2.02,4.74

1.6,4.76

1.38,4.47

1.24,3.93

1.25,3.31

1.29,2.9

1.52,2.7

2.15,2.68

2.98,2.68

3.54,2.71

3.85,2.86

3.72,3.17

3.36,3.67

2.73,4.21

2.16,4.56

1.73,4.54

1.48,4.01

1.37,3.49

1.47,3.15

1.95,2.93

2.79,2.86

3.27,3.04

3.27,3.39

2.95,3.89

2.38,4.37

1.9,4.47

1.6,4.13

1.28,3.12

0.98,2.64

0.79,2.28

0.66,2.01

0.56,1.81

0.48,1.66
